"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.01066",0,58,0.515658411069765,NA,NA,38.3641170488546,6.22150384249499,26.1995462651438,50.5959396410645,-4.61420270790527,0.0565745141152909,-4.72446540122573,-4.50259070333342
"fitted.Predictor.01067",0,58.5,0.55640813489211,NA,NA,36.8877417504383,6.25543184495239,24.6571588497897,49.1865502409439,-4.6186672004523,0.0571183591726005,-4.72997726613838,-4.50597199562713
"fitted.Predictor.01068",0,59,0.597157858714456,NA,NA,35.3970590867408,6.30932298598254,23.0613496113912,47.8020248805008,-4.6230391924714,0.0577886094494319,-4.73564194959676,-4.50901094513516
"fitted.Predictor.01069",0,59.5,0.637907582536801,NA,NA,33.8920690265169,6.38506024162101,21.4084263360012,46.4460634912686,-4.62731847064654,0.0585928354500712,-4.7414742874259,-4.51168451343696
"fitted.Predictor.01070",0,60,0.678657306359147,NA,NA,32.3727715773436,6.48434031469153,19.6950902167757,45.1220201594603,-4.63150475920499,0.0595378416832631,-4.74748764209099,-4.51398570888547
"fitted.Predictor.01071",0,60.5,0.719407030181492,NA,NA,30.8391667352954,6.60862638952935,17.9184875207194,43.8327797589016,-4.63559773283284,0.0606295637836135,-4.75369370358691,-4.51590479490894
"fitted.Predictor.01072",0,61,0.760156754003838,NA,NA,29.2912544919227,6.75911297319367,16.0762822396823,42.5806918951114,-4.63959703299574,0.0618729973252463,-4.76010234765814,-4.51743215515702
"fitted.Predictor.01073",0,61.5,0.800906477826183,NA,NA,27.7290348310121,6.93670611641228,14.166691683293,41.3675295758132,-4.6435022860892,0.0632721613168114,-4.76672155708679,-4.51856006887123
"fitted.Predictor.01074",0,62,0.841656201648529,NA,NA,26.1525077312929,7.14202017029931,12.1884955372994,40.1944843129244,-4.64731312165884,0.0648300966072703,-4.77355740743828,-4.51928271398376
"fitted.Predictor.01075",0,62.5,0.882405925470874,NA,NA,24.5616732065996,7.37539010532272,10.1410436529638,39.0622141114863,-4.65102918902715,0.0665488967758787,-4.78061411431255,-4.51959610940684
"fitted.Predictor.01076",0,63,0.923155649293219,NA,NA,22.9565312579082,7.63689699136191,8.02416932031564,37.9708668462288,-4.65465017100347,0.0684297668958643,-4.78789413526274,-4.51949800430807
